Archer, 50, 5, 7, 2, 2, 1, 3, -1
Galley, 50, 5, 3, 3, 2, 1, 12, -1
Scout, 30, 4, 0, 2, 0, 1, 7, -1
Settler, 100, 0, 0, 2, 0, 1, 1, -1
Spearman, 60, 7, 0, 2, 0, 0, 4, 2
Warrior, 45, 6, 0, 2, 0, 1, 2, -1
Worker, 70, 0, 0, 2, 0, 1, 0, -1
Catapult, 80, 5, 12, 2, 2, 0, 9, 3
Swordsman, 80, 12, 0, 2, 0, 0, 17, 3
Crossbowman, 125, 10, 15, 2, 2, 0, 14, 5
Knight, 125, 19, 0, 3, 0, 0, 13, 5
Pikeman, 90, 10, 0, 2, 0, 0, 5, 4
Cannon, 190, 13, 27, 2, 2, 0, 21, 7
Caravel, 120, 15, 7, 6, 2, 0, 20, 6
Cavalry, 225, 25, 0, 3, 0, 0, 23, 8
Frigate, 190, 30, 15, 5, 2, 0, 25, 7
Musketman, 150, 16, 0, 2, 0, 0, 18, 6
Rifleman, 225, 25, 0, 2, 0, 0, 19, 8
Artillery, 330, 16, 32, 2, 3, 0, 27, 10
Battleship, 380, 60, 32, 4, 3, 0, 32, 11
Carrier, 380, 30, 0, 5, 0, 0, 34, 11
Destroyer, 380, 35, 22, 8, 2, 0, 33, 10
Fighter, 380, 0, 40, 0, 8, 0, 41, 11
Infantry, 320, 36, 0, 2, 0, 0, 24, 10
Ironclad, 275, 35, 18, 4, 2, 0, 26, 9
Submarine, 375, 25, 60, 5, 3, 0, 35, 11
Tank, 375, 50, 0, 5, 0, 0, 28, 11
Bomber, 375, 0, 50, 0, 10, 0, 42, 12
Helicopter Gunship, 425, 50, 0, 6, 0, 0, 38, 13
Jet Fighter, 425, 0, 60, 0, 10, 0, 43, 13
Mechanized Infantry, 380, 50, 0, 3, 0, 0, 39, 12
Modern Armor, 425, 80, 0, 5, 0, 0, 40, 13
Stealth Bomber, 425, 0, 80, 0, 20, 0, 44, 14
